西暦,順位,棋士名,金額,賞金・対局料,段位・称号,生年月日,各年最終日,年齢
2022,9,山崎隆之,"1,770","1,770万円",八段,1981-02-14,2022-12-31,41
2022,10,稲葉陽,"1,580","1,580万円",八段,1988-08-08,2022-12-31,34
2021,1,渡辺明,"8,194","8,194万円",名人,1984-04-23,2021-12-31,37
2021,2,豊島将之,"8,145","8,145万円",九段,1990-04-30,2021-12-31,31
2021,3,藤井聡太,"6,996","6,996万円",竜王,2002-07-19,2021-12-31,19
2021,4,永瀬拓矢,"4,821","4,821万円",王座,1992-09-05,2021-12-31,29
2021,5,羽生善治,"3,236","3,236万円",九段,1970-09-27,2021-12-31,51
2021,6,斎藤慎太郎,"2,567","2,567万円",八段,1993-04-21,2021-12-31,28
2021,7,木村一基,"2,245","2,245万円",九段,1973-06-23,2021-12-31,48
2021,8,糸谷哲郎,"1,876","1,876万円",八段,1988-10-05,2021-12-31,33
2021,9,稲葉陽,"1,703","1,703万円",八段,1988-08-08,2021-12-31,33
2021,10,菅井竜也,"1,674","1,674万円",八段,1992-04-17,2021-12-31,29
2021,12,山崎隆之,"1,498","1,498万円",八段,1981-02-14,2021-12-31,40
2021,13,佐藤天彦,"1,479","1,479万円",九段,1988-01-16,2021-12-31,33
2021,14,広瀬章人,"1,392","1,392万円",八段,1987-01-18,2021-12-31,34
2020,1,豊島将之,"10,645",1億645万円,竜王,1990-04-30,2020-12-31,30
2020,2,渡辺明,"8,043","8,043万円",名人,1984-04-23,2020-12-31,36
2020,3,永瀬拓矢,"4,621","4,621万円",王座,1992-09-05,2020-12-31,28
2020,4,藤井聡太,"4,554","4,554万円",王位・棋聖,2002-07-19,2020-12-31,18
2020,5,広瀬章人,"3,241","3,241万円",八段,1987-01-18,2020-12-31,33
2020,6,羽生善治,"2,491","2,491万円",九段,1970-09-27,2020-12-31,50
2020,7,久保利明,"2,421","2,421万円",九段,1975-08-27,2020-12-31,45
2020,8,木村一基,"2,338","2,338万円",九段,1973-06-23,2020-12-31,47
2020,9,丸山忠久,"1,926","1,926万円",九段,1970-09-05,2020-12-31,50
2020,10,千田翔太,"1,692","1,692万円",七段,1994-04-10,2020-12-31,26
2020,11,糸谷哲郎,"1,502","1,502万円",八段,1988-10-05,2020-12-31,32
2020,13,菅井竜也,"1,445","1,445万円",八段,1992-04-17,2020-12-31,28
2020,14,稲葉陽,"1,395","1,395万円",八段,1988-08-08,2020-12-31,32
2020,16,斎藤慎太郎,"1,338","1,338万円",八段,1993-04-21,2020-12-31,27
2019,1,豊島将之,"7,157","7,157万円",竜王・名人,1990-04-30,2019-12-31,29
2019,2,広瀬章人,"6,984","6,984万円",八段,1987-01-18,2019-12-31,32
2019,3,渡辺明,"6,514","6,514万円",三冠,1984-04-23,2019-12-31,35
2019,4,永瀬拓矢,"4,678","4,678万円",叡王・王座,1992-09-05,2019-12-31,27
2019,5,羽生善治,"3,999","3,999万円",九段,1970-09-27,2019-12-31,49
2019,6,佐藤天彦,"3,687","3,687万円",九段,1988-01-16,2019-12-31,31
2019,7,木村一基,"3,209","3,209万円",王位,1973-06-23,2019-12-31,46
2019,8,久保利明,"2,178","2,178万円",九段,1975-08-27,2019-12-31,44
2019,9,藤井聡太,"2,108","2,108万円",七段,2002-07-19,2019-12-31,17
2019,10,斎藤慎太郎,"1,868","1,868万円",七段,1993-04-21,2019-12-31,26
2019,21,千田翔太,"1,080","1,080万円",七段,1994-04-10,2019-12-31,25
2019,24,丸山忠久,"1,017","1,017万円",九段,1970-09-05,2019-12-31,49
2018,1,羽生善治,"7,552","7,552万円",九段,1970-09-27,2018-12-31,48
2018,2,佐藤天彦,"5,999","5,999万円",名人,1988-01-16,2018-12-31,30
2018,3,渡辺明,"5,119","5,119万円",棋王,1984-04-23,2018-12-31,34
2018,4,豊島将之,"4,722","4,722万円",王位・棋聖,1990-04-30,2018-12-31,28
2018,5,広瀬章人,"2,802","2,802万円",竜王,1987-01-18,2018-12-31,31
2018,6,高見泰地,"2,636","2,636万円",叡王,1993-07-12,2018-12-31,25
2018,7,久保利明,"2,598","2,598万円",王将,1975-08-27,2018-12-31,43
2018,8,斎藤慎太郎,"2,393","2,393万円",王座,1993-04-21,2018-12-31,25
2018,9,菅井竜也,"2,193","2,193万円",七段,1992-04-17,2018-12-31,26
2018,10,深浦康市,"2,189","2,189万円",九段,1972-02-14,2018-12-31,46
2018,12,藤井聡太,"2,031","2,031万円",七段,2002-07-19,2018-12-31,16
2018,18,永瀬拓矢,"1,382","1,382万円",叡王・王座,1992-09-05,2018-12-31,26
2018,27,木村一基,"1,057","1,057万円",王位,1973-06-23,2018-12-31,45
2017,1,渡辺明,"7,534","7,534万円",棋王,1984-04-23,2017-12-31,33
2017,2,佐藤天彦,"7,255","7,255万円",名人,1988-01-16,2017-12-31,29
2017,3,羽生善治,"5,070","5,070万円",竜王,1970-09-27,2017-12-31,47
2017,4,久保利明,"3,019","3,019万円",王将,1975-08-27,2017-12-31,42
2017,5,丸山忠久,"2,908","2,908万円",九段,1970-09-05,2017-12-31,47
2017,6,稲葉陽,"2,801","2,801万円",八段,1988-08-08,2017-12-31,29
2017,7,菅井竜也,"2,363","2,363万円",王位,1992-04-17,2017-12-31,25
2017,8,中村太地,"2,144","2,144万円",王座,1988-06-01,2017-12-31,29
2017,9,松尾歩,"1,985","1,985万円",八段,1980-03-29,2017-12-31,37
2017,10,佐藤康光,"1,967","1,967万円",九段,1969-10-01,2017-12-31,48
2017,12,豊島将之,"1,795","1,795万円",王位・棋聖,1990-04-30,2017-12-31,27
2017,13,斎藤慎太郎,"1,699","1,699万円",王座,1993-04-21,2017-12-31,24
2017,18,広瀬章人,"1,499","1,499万円",竜王,1987-01-18,2017-12-31,30
2017,19,深浦康市,"1,359","1,359万円",九段,1972-02-14,2017-12-31,45
2017,63,高見泰地,522,522万円,叡王,1993-07-12,2017-12-31,24
2016,1,羽生善治,"9,150","9,150万円",三冠,1970-09-27,2016-12-31,46
2016,2,渡辺明,"7,390","7,390万円",竜王,1984-04-23,2016-12-31,32
2016,3,佐藤天彦,"5,722","5,722万円",名人,1988-01-16,2016-12-31,28
2016,4,糸谷哲郎,"3,543","3,543万円",八段,1988-10-05,2016-12-31,28
2016,5,山崎隆之,"3,206","3,206万円",八段,1981-02-14,2016-12-31,35
2016,6,郷田真隆,"3,185","3,185万円",王将,1971-03-17,2016-12-31,45
2016,7,豊島将之,"2,492","2,492万円",七段,1990-04-30,2016-12-31,26
2016,8,丸山忠久,"2,210","2,210万円",九段,1970-09-05,2016-12-31,46
2016,9,三浦弘行,"1,997","1,997万円",九段,1974-02-13,2016-12-31,42
2016,10,深浦康市,"1,849","1,849万円",九段,1972-02-14,2016-12-31,44
2016,12,久保利明,"1,665","1,665万円",王将,1975-08-27,2016-12-31,41
2016,14,佐藤康光,"1,602","1,602万円",九段,1969-10-01,2016-12-31,47
2016,19,稲葉陽,"1,423","1,423万円",八段,1988-08-08,2016-12-31,28
2016,23,松尾歩,"1,067","1,067万円",八段,1980-03-29,2016-12-31,36
2016,27,菅井竜也,958,958万円,王位,1992-04-17,2016-12-31,24
2016,36,中村太地,718,718万円,王座,1988-06-01,2016-12-31,28
2015,1,羽生善治,"11,900","1億1,900万円",名人,1970-09-27,2015-12-31,45
2015,2,糸谷哲郎,"5,531","5,531万円",八段,1988-10-05,2015-12-31,27
2015,3,渡辺明,"4,577","4,577万円",竜王,1984-04-23,2015-12-31,31
2015,4,森内俊之,"3,450","3,450万円",九段,1970-10-10,2015-12-31,45
2015,5,行方尚史,"2,689","2,689万円",八段,1973-12-30,2015-12-31,42
2015,6,佐藤天彦,"2,616","2,616万円",八段,1988-01-16,2015-12-31,27
2015,7,郷田真隆,"2,467","2,467万円",王将,1971-03-17,2015-12-31,44
2015,8,豊島将之,"2,459","2,459万円",七段,1990-04-30,2015-12-31,25
2015,9,深浦康市,"2,373","2,373万円",九段,1972-02-14,2015-12-31,43
2015,10,広瀬章人,"2,042","2,042万円",八段,1987-01-18,2015-12-31,28
2015,12,三浦弘行,"1,989","1,989万円",九段,1974-02-13,2015-12-31,41
2015,17,山崎隆之,"1,346","1,346万円",八段,1981-02-14,2015-12-31,34
2015,23,丸山忠久,"1,106","1,106万円",九段,1970-09-05,2015-12-31,45
2014,1,羽生善治,"11,499","1億1,499万円",名人,1970-09-27,2014-12-31,44
2014,2,森内俊之,"8,374","8,374万円",九段,1970-10-10,2014-12-31,44
2014,3,渡辺明,"6,684","6,684万円",二冠,1984-04-23,2014-12-31,30
2014,4,郷田真隆,"2,340","2,340万円",九段,1971-03-17,2014-12-31,43
2014,5,豊島将之,"2,160","2,160万円",七段,1990-04-30,2014-12-31,24
2014,6,行方尚史,"2,090","2,090万円",八段,1973-12-30,2014-12-31,41
2014,7,三浦弘行,"2,089","2,089万円",九段,1974-02-13,2014-12-31,40
2014,8,深浦康市,"1,720","1,720万円",九段,1972-02-14,2014-12-31,42
2014,9,佐藤康光,"1,643","1,643万円",九段,1969-10-01,2014-12-31,45
2014,10,木村一基,"1,634","1,634万円",八段,1973-06-23,2014-12-31,41
2014,12,糸谷哲郎,"1,563","1,563万円",八段,1988-10-05,2014-12-31,26
2014,15,広瀬章人,"1,356","1,356万円",八段,1987-01-18,2014-12-31,27
2014,21,佐藤天彦,966,966万円,八段,1988-01-16,2014-12-31,26
2013,1,渡辺明,"10,255",1億255万円,二冠,1984-04-23,2013-12-31,29
2013,2,羽生善治,"7,281","7,281万円",三冠,1970-09-27,2013-12-31,43
2013,3,森内俊之,"5,503","5,503万円",竜王･名人,1970-10-10,2013-12-31,43
2013,4,郷田真隆,"3,453","3,453万円",九段,1971-03-17,2013-12-31,42
2013,5,丸山忠久,"2,912","2,912万円",九段,1970-09-05,2013-12-31,43
2013,6,佐藤康光,"2,720","2,720万円",九段,1969-10-01,2013-12-31,44
2013,7,行方尚史,"1,821","1,821万円",八段,1973-12-30,2013-12-31,40
2013,8,谷川浩司,"1,818","1,818万円",九段,1962-04-06,2013-12-31,51
2013,9,久保利明,"1,788","1,788万円",九段,1975-08-27,2013-12-31,38
2013,10,三浦弘行,"1,633","1,633万円",九段,1974-02-13,2013-12-31,39
2013,15,豊島将之,"1,179","1,179万円",七段,1990-04-30,2013-12-31,23
2013,16,深浦康市,"1,149","1,149万円",九段,1972-02-14,2013-12-31,41
2013,19,木村一基,"1,037","1,037万円",八段,1973-06-23,2013-12-31,40
2012,1,羽生善治,"9,175","9,175万円",三冠,1970-09-27,2012-12-31,42
2012,2,渡辺明,"7,197","7,197万円",竜王,1984-04-23,2012-12-31,28
2012,3,森内俊之,"5,317","5,317万円",名人,1970-10-10,2012-12-31,42
2012,4,丸山忠久,"3,409","3,409万円",九段,1970-09-05,2012-12-31,42
2012,5,久保利明,"3,233","3,233万円",九段,1975-08-27,2012-12-31,37
2012,6,郷田真隆,"2,597","2,597万円",棋王,1971-03-17,2012-12-31,41
2012,7,佐藤康光,"2,505","2,505万円",王将,1969-10-01,2012-12-31,43
2012,8,深浦康市,"2,100","2,100万円",九段,1972-02-14,2012-12-31,40
2012,9,藤井猛,"1,705","1,705万円",九段,1970-09-29,2012-12-31,42
2012,10,山崎隆之,"1,643","1,643万円",七段,1981-02-14,2012-12-31,31
2012,12,三浦弘行,"1,413","1,413万円",九段,1974-02-13,2012-12-31,38
2012,22,行方尚史,"1,058","1,058万円",八段,1973-12-30,2012-12-31,39
2012,23,谷川浩司,957,957万円,九段,1962-04-06,2012-12-31,50
2011,1,羽生善治,"9,886","9,886万円",二冠,1970-09-27,2011-12-31,41
2011,2,渡辺明,"8,365","8,365万円",竜王,1984-04-23,2011-12-31,27
2011,3,久保利明,"4,659","4,659万円",二冠,1975-08-27,2011-12-31,36
2011,4,森内俊之,"3,371","3,371万円",名人,1970-10-10,2011-12-31,41
2011,5,丸山忠久,"2,643","2,643万円",九段,1970-09-05,2011-12-31,41
2011,6,深浦康市,"2,145","2,145万円",九段,1972-02-14,2011-12-31,39
2011,7,木村一基,"2,052","2,052万円",八段,1973-06-23,2011-12-31,38
2011,8,広瀬章人,"2,005","2,005万円",七段,1987-01-18,2011-12-31,24
2011,9,佐藤康光,"1,920","1,920万円",九段,1969-10-01,2011-12-31,42
2011,10,郷田真隆,"1,679","1,679万円",九段,1971-03-17,2011-12-31,40
2011,11,三浦弘行,"1,650","1,650万円",八段,1974-02-13,2011-12-31,37
2011,12,橋本崇載,"1,498","1,498万円",八段,1983-03-03,2011-12-31,28
2011,13,山崎隆之,"1,405","1,405万円",七段,1981-02-14,2011-12-31,30
2011,14,屋敷伸之,"1,333","1,333万円",九段,1972-01-18,2011-12-31,39
2011,15,豊島将之,"1,286","1,286万円",六段,1990-04-30,2011-12-31,21
2011,16,谷川浩司,"1,220","1,220万円",九段,1962-04-06,2011-12-31,49
2011,17,佐藤天彦,"1,148","1,148万円",六段,1988-01-16,2011-12-31,23
2011,18,藤井猛,"1,107","1,107万円",九段,1970-09-29,2011-12-31,41
2011,19,高橋道雄,"1,088","1,088万円",九段,1960-04-23,2011-12-31,51
2011,20,糸谷哲郎,"1,035","1,035万円",六段,1988-10-05,2011-12-31,23
2010,1,羽生善治,"11,576","1億1,576万円",名人,1970-09-27,2010-12-31,40
2010,2,渡辺明,"6,240","6,240万円",竜王,1984-04-23,2010-12-31,26
2010,3,久保利明,"4,829","4,829万円",二冠,1975-08-27,2010-12-31,35
2010,4,森内俊之,"3,270","3,270万円",九段,1970-10-10,2010-12-31,40
2010,5,深浦康市,"3,173","3,173万円",九段,1972-02-14,2010-12-31,38
2010,6,佐藤康光,"3,018","3,018万円",九段,1969-10-01,2010-12-31,41
2010,7,三浦弘行,"2,850","2,850万円",八段,1974-02-13,2010-12-31,36
2010,8,藤井猛,"2,410","2,410万円",九段,1970-09-29,2010-12-31,40
2010,9,丸山忠久,"2,372","2,372万円",九段,1970-09-05,2010-12-31,40
2010,10,広瀬章人,"2,136","2,136万円",王位,1987-01-18,2010-12-31,23
2010,11,谷川浩司,"1,925","1,925万円",九段,1962-04-06,2010-12-31,48
2010,12,郷田真隆,"1,602","1,602万円",九段,1971-03-17,2010-12-31,39
2010,13,山崎隆之,"1,426","1,426万円",七段,1981-02-14,2010-12-31,29
2010,14,木村一基,"1,342","1,342万円",八段,1973-06-23,2010-12-31,37
2010,15,松尾歩,"1,235","1,235万円",七段,1980-03-29,2010-12-31,30
2010,16,阿久津主税,"1,230","1,230万円",七段,1982-06-24,2010-12-31,28
2010,17,高橋道雄,"1,229","1,229万円",九段,1960-04-23,2010-12-31,50
2010,18,鈴木大介,"1,122","1,122万円",八段,1974-07-11,2010-12-31,36
2010,19,屋敷伸之,"1,075","1,075万円",九段,1972-01-18,2010-12-31,38
2010,20,井上慶太,"1,035","1,035万円",八段,1964-01-17,2010-12-31,46
2010,26,橋本崇載,863,863万円,八段,1983-03-03,2010-12-31,27
2010,37,糸谷哲郎,767,767万円,六段,1988-10-05,2010-12-31,22
2010,51,豊島将之,610,610万円,六段,1990-04-30,2010-12-31,20
2010,67,佐藤天彦,533,533万円,六段,1988-01-16,2010-12-31,22
2009,1,羽生善治,"11,278","1億1,278万円",名人,1970-09-27,2009-12-31,39
2009,2,渡辺明,"5,605","5,605万円",竜王,1984-04-23,2009-12-31,25
2009,3,深浦康市,"4,864","4,864万円",王位,1972-02-14,2009-12-31,37
2009,4,久保利明,"3,341","3,341万円",棋王,1975-08-27,2009-12-31,34
2009,5,木村一基,"2,942","2,942万円",八段,1973-06-23,2009-12-31,36
2009,6,森内俊之,"2,728","2,728万円",九段,1970-10-10,2009-12-31,39
2009,7,佐藤康光,"2,688","2,688万円",九段,1969-10-01,2009-12-31,40
2009,8,郷田真隆,"2,632","2,632万円",九段,1971-03-17,2009-12-31,38
2009,9,阿久津主税,"2,570","2,570万円",七段,1982-06-24,2009-12-31,27
2009,10,山崎隆之,"2,271","2,271万円",七段,1981-02-14,2009-12-31,28
2009,11,谷川浩司,"2,187","2,187万円",九段,1962-04-06,2009-12-31,47
2009,12,丸山忠久,"1,755","1,755万円",九段,1970-09-05,2009-12-31,39
2009,13,三浦弘行,"1,598","1,598万円",八段,1974-02-13,2009-12-31,35
2009,14,藤井猛,"1,438","1,438万円",九段,1970-09-29,2009-12-31,39
2009,15,井上慶太,"1,337","1,337万円",八段,1964-01-17,2009-12-31,45
2009,16,高橋道雄,"1,257","1,257万円",九段,1960-04-23,2009-12-31,49
2009,17,森下卓,"1,250","1,250万円",九段,1966-07-10,2010-01-01,43
2009,18,鈴木大介,"1,206","1,206万円",八段,1974-07-11,2010-01-02,35
2009,19,行方尚史,"1,156","1,156万円",八段,1973-12-30,2010-01-03,36
2009,20,松尾歩,"1,061","1,061万円",七段,1980-03-29,2010-01-04,29
2009,30,屋敷伸之,891,891万円,九段,1972-01-18,2010-01-06,37
2009,38,広瀬章人,768,768万円,王位,1987-01-18,2010-01-05,22
2008,1,羽生善治,"10,711",1億711万円,名人,1970-09-27,2008-12-31,38
2008,2,渡辺明,"6,252","6,252万円",竜王,1984-04-23,2008-12-31,24
2008,3,佐藤康光,"6,082","6,082万円",棋王,1969-10-01,2008-12-31,39
2008,4,森内俊之,"3,782","3,782万円",九段,1970-10-10,2008-12-31,38
2008,5,深浦康市,"3,497","3,497万円",王位,1972-02-14,2008-12-31,36
2008,6,木村一基,"2,958","2,958万円",八段,1973-06-23,2008-12-31,35
2008,7,丸山忠久,"2,544","2,544万円",九段,1970-09-05,2008-12-31,38
2008,8,久保利明,"2,402","2,402万円",八段,1975-08-27,2008-12-31,33
2008,9,行方尚史,"2,068","2,068万円",八段,1973-12-30,2008-12-31,35
2008,10,郷田真隆,"1,994","1,994万円",九段,1971-03-17,2008-12-31,37
2008,11,鈴木大介,"1,840","1,840万円",八段,1974-07-11,2008-12-31,34
2008,12,森下卓,"1,799","1,799万円",九段,1966-07-10,2008-12-31,42
2008,13,谷川浩司,"1,657","1,657万円",九段,1962-04-06,2008-12-31,46
2008,14,三浦弘行,"1,502","1,502万円",八段,1974-02-13,2008-12-31,34
2008,15,山崎隆之,"1,439","1,439万円",七段,1981-02-14,2008-12-31,27
2008,16,島朗,"1,392","1,392万円",九段,1963-02-19,2008-12-31,45
2008,17,阿久津主税,"1,382","1,382万円",六段,1982-06-24,2008-12-31,26
2008,18,藤井猛,"1,376","1,376万円",九段,1970-09-29,2008-12-31,38
2008,19,阿部隆,"1,257","1,257万円",八段,1967-08-25,2008-12-31,41
2008,20,高橋道雄,"1,202","1,202万円",九段,1960-04-23,2008-12-31,48
2008,21,井上慶太,"1,077","1,077万円",八段,1964-01-17,2008-12-31,44
2008,25,松尾歩,974,974万円,七段,1980-03-29,2008-12-31,28
2007,1,羽生善治,"8,132","8,132万円",二冠,1970-09-27,2007-12-31,37
2007,2,渡辺明,"8,032","8,032万円",竜王,1984-04-23,2007-12-31,23
2007,3,佐藤康光,"7,927","7,927万円",二冠,1969-10-01,2007-12-31,38
2007,4,森内俊之,"6,721","6,721万円",名人,1970-10-10,2007-12-31,37
2007,5,深浦康市,"3,392","3,392万円",王位,1972-02-14,2007-12-31,35
2007,6,郷田真隆,"2,994","2,994万円",九段,1971-03-17,2007-12-31,36
2007,7,久保利明,"2,680","2,680万円",八段,1975-08-27,2007-12-31,32
2007,8,木村一基,"2,384","2,384万円",八段,1973-06-23,2007-12-31,34
2007,9,谷川浩司,"2,350","2,350万円",九段,1962-04-06,2007-12-31,45
2007,10,丸山忠久,"1,953","1,953万円",九段,1970-09-05,2007-12-31,37
2007,11,森下卓,"1,885","1,885万円",九段,1966-07-10,2007-12-31,41
2007,12,阿久津主税,"1,700","1,700万円",六段,1982-06-24,2007-12-31,25
2007,13,鈴木大介,"1,585","1,585万円",八段,1974-07-11,2007-12-31,33
2007,14,藤井猛,"1,522","1,522万円",九段,1970-09-29,2007-12-31,37
2007,15,三浦弘行,"1,433","1,433万円",八段,1974-02-13,2007-12-31,33
2007,16,阿部隆,"1,332","1,332万円",八段,1967-08-25,2007-12-31,40
2007,17,島朗,"1,248","1,248万円",八段,1963-02-19,2007-12-31,44
2007,18,中原誠,"1,235","1,235万円",十六世名人,1947-09-02,2007-12-31,60
2007,19,高橋道雄,"1,122","1,122万円",九段,1960-04-23,2007-12-31,47
2007,20,行方尚史,"1,098","1,098万円",八段,1973-12-30,2007-12-31,34
2007,25,山崎隆之,976,976万円,七段,1981-02-14,2007-12-31,26
2006,1,羽生善治,"9,376","9,376万円",三冠,1970-09-27,2006-12-31,36
2006,2,佐藤康光,"7,576","7,576万円",棋聖,1969-10-01,2006-12-31,37
2006,3,森内俊之,"6,536","6,536万円",名人,1970-10-10,2006-12-31,36
2006,4,渡辺明,"5,654","5,654万円",竜王,1984-04-23,2006-12-31,22
2006,5,谷川浩司,"3,205","3,205万円",九段,1962-04-06,2006-12-31,44
2006,6,丸山忠久,"3,116","3,116万円",九段,1970-09-05,2006-12-31,36
2006,7,藤井猛,"2,506","2,506万円",九段,1970-09-29,2006-12-31,36
2006,8,鈴木大介,"2,277","2,277万円",八段,1974-07-11,2006-12-31,32
2006,9,郷田真隆,"2,159","2,159万円",九段,1971-03-17,2006-12-31,35
2006,10,森下卓,"1,989","1,989万円",九段,1966-07-10,2006-12-31,40
2006,11,木村一基,"1,925","1,925万円",七段,1973-06-23,2006-12-31,33
2006,12,深浦康市,"1,864","1,864万円",八段,1972-02-14,2006-12-31,34
2006,13,三浦弘行,"1,587","1,587万円",八段,1974-02-13,2006-12-31,32
2006,14,久保利明,"1,485","1,485万円",八段,1975-08-27,2006-12-31,31
2006,15,島朗,"1,301","1,301万円",八段,1963-02-19,2006-12-31,43
2006,16,阿部隆,"1,295","1,295万円",八段,1967-08-25,2006-12-31,39
2006,17,井上慶太,"1,233","1,233万円",八段,1964-01-17,2006-12-31,42
2006,18,高橋道雄,"1,226","1,226万円",九段,1960-04-23,2006-12-31,46
2006,19,中原誠,"1,170","1,170万円",永世十段,1947-09-02,2006-12-31,59
2006,20,先崎学,"1,152","1,152万円",八段,1970-06-22,2006-12-31,36
2006,25,行方尚史,"1,035","1,035万円",八段,1973-12-30,2006-12-31,33
2006,42,阿久津主税,798,798万円,六段,1982-06-24,2006-12-31,24
2005,1,羽生善治,"10,391",1億391万円,三冠,1970-09-27,2005-12-31,35
2005,2,森内俊之,"7,117","7,117万円",名人,1970-10-10,2005-12-31,35
2005,3,渡辺明,"6,194","6,194万円",竜王,1984-04-23,2005-12-31,21
2005,4,佐藤康光,"5,040","5,040万円",棋聖,1969-10-01,2005-12-31,36
2005,5,谷川浩司,"2,844","2,844万円",九段,1962-04-06,2005-12-31,43
2005,6,三浦弘行,"2,637","2,637万円",八段,1974-02-13,2005-12-31,31
2005,7,山崎隆之,"2,299","2,299万円",六段,1981-02-14,2005-12-31,24
2005,8,木村一基,"2,286","2,286万円",七段,1973-06-23,2005-12-31,32
2005,9,藤井猛,"1,981","1,981万円",九段,1970-09-29,2005-12-31,35
2005,10,深浦康市,"1,954","1,954万円",八段,1972-02-14,2005-12-31,33
2005,11,郷田真隆,"1,934","1,934万円",九段,1971-03-17,2005-12-31,34
2005,12,丸山忠久,"1,898","1,898万円",九段,1970-09-05,2005-12-31,35
2005,13,森下卓,"1,622","1,622万円",九段,1966-07-10,2005-12-31,39
2005,14,久保利明,"1,595","1,595万円",八段,1975-08-27,2005-12-31,30
2005,15,鈴木大介,"1,479","1,479万円",八段,1974-07-11,2005-12-31,31
2005,16,阿部隆,"1,372","1,372万円",八段,1967-08-25,2005-12-31,38
2005,17,先崎学,"1,356","1,356万円",八段,1970-06-22,2005-12-31,35
2005,19,島朗,"1,327","1,327万円",八段,1963-02-19,2005-12-31,42
2005,20,中原誠,"1,220","1,220万円",永世十段,1947-09-02,2005-12-31,58
2005,21,高橋道雄,"1,214","1,214万円",九段,1960-04-23,2005-12-31,45
2005,23,井上慶太,"1,179","1,179万円",八段,1964-01-17,2005-12-31,41
2004,1,羽生善治,"11,272","1億1,272万円",,1970-09-27,2004-12-31,34
2004,2,森内俊之,"10,833",1億833万円,,1970-10-10,2004-12-31,34
2004,3,谷川浩司,"4,673","4,673万円",,1962-04-06,2004-12-31,42
2004,4,佐藤康光,"4,051","4,051万円",,1969-10-01,2004-12-31,35
2004,5,丸山忠久,"2,785","2,785万円",,1970-09-05,2004-12-31,34
2004,6,渡辺明,"2,442","2,442万円",竜王,1984-04-23,2004-12-31,20
2004,7,久保利明,"2,407","2,407万円",,1975-08-27,2004-12-31,29
