対局日,棋戦,備考,先手の勝敗,先手,後手,後手の勝敗,千日手,放送日
2026-04-09,王将戦,一次予選,○,郷田真隆,吉池隆真,●,,
2026-04-09,王将戦,一次予選,●,宮田敦史,郷田真隆,○,,
2026-04-08,名人戦,第1局,●,糸谷哲郎,藤井聡太,○,,
2026-04-08,竜王戦,4組 昇決,●,谷川浩司,黒沢怜生,○,千日手,
2026-04-08,竜王戦,5組,○,田村康介,遠山雄亮,●,,
2026-04-08,棋聖戦,決勝トーナメント,○,服部慎一郎,八代弥,●,,
2026-04-08,棋王戦,予選,●,村田智弘,杉本昌隆,○,,
2026-04-07,竜王戦,3組,○,本田奎,及川拓馬,●,,
2026-04-07,王位戦,挑決リーグ,●,杉本和陽,佐々木勇気,○,,
2026-04-07,王位戦,挑決リーグ,○,菅井竜也,齊藤優希,●,,
2026-04-07,棋聖戦,決勝トーナメント,○,高見泰地,佐藤天彦,●,,
2026-04-07,棋王戦,予選,○,千葉幸生,鈴木大介,●,,
2026-04-07,棋王戦,予選,○,出口若武,長岡裕也,●,,
2026-04-07,棋王戦,予選,●,宮本広志,藤本渚,○,,
2026-04-06,棋王戦,予選,○,松本佳介,飯塚祐紀,●,,
2026-04-03,叡王戦,第1局,○,伊藤匠,斎藤慎太郎,●,,
2026-04-03,竜王戦,1組 出決,●,郷田真隆,佐々木勇気,○,,
2026-04-03,竜王戦,1組 出決,●,松尾歩,佐藤康光,○,,
2026-04-03,竜王戦,3組,○,増田康宏,佐々木慎,●,,
2026-04-03,竜王戦,6組,●,勝又清和,齊藤優希,○,,
2026-04-03,王位戦,挑決リーグ,●,杉本和陽,藤本渚,○,,
2026-04-03,王座戦,二次予選,○,青嶋未来,鈴木大介,●,,
2026-04-03,王座戦,二次予選,○,佐藤天彦,永瀬拓矢,●,,
2026-04-03,王座戦,二次予選,●,上野裕寿,澤田真吾,○,,
2026-04-03,棋王戦,予選,○,深浦康市,谷合廣紀,●,,
2026-04-03,棋王戦,予選,●,本田奎,阿部光瑠,○,,
2026-04-03,棋王戦,予選,○,生垣寛人,池永天志,●,,
2026-04-03,棋王戦,予選,●,北浜健介,柵木幹太,○,,
2026-04-03,王将戦,一次予選,●,戸辺誠,千葉幸生,○,,
2026-04-02,竜王戦,4組,●,野月浩貴,飯島栄治,○,,
2026-04-02,竜王戦,5組 昇決,○,中村太地,先崎学,●,,
2026-04-02,竜王戦,5組 昇決,●,渡辺正和,中川大輔,○,,
2026-04-02,王座戦,二次予選,○,近藤誠也,及川拓馬,●,,
2026-04-02,王座戦,二次予選,●,大橋貴洸,西田拓也,○,,
2026-04-02,棋王戦,予選,○,佐藤紳哉,三浦弘行,●,,
2026-04-02,棋王戦,予選,●,田中悠一,山川泰熙,○,千日手,
2026-04-02,棋王戦,予選,○,古賀悠聖,今泉健司,●,,
2026-04-02,王将戦,一次予選,○,羽生善治,井出隼平,●,,
2026-04-01,王座戦,二次予選,●,黒田尭之,久保利明,○,,
2026-04-01,王将戦,一次予選,○,渡辺和史,星野良生,●,,
